Date,Actual,Predicted,Difference
2024-10-10,60274.50,60029.88,244.62
2024-10-11,62445.09,59867.52,2577.56
2024-10-12,63193.02,59976.42,3216.60
2024-10-13,62851.38,60335.70,2515.68
2024-10-14,66046.12,60739.84,5306.29
2024-10-15,67041.11,61620.05,5421.06
2024-10-16,67612.72,62793.77,4818.95
2024-10-17,67399.84,64055.38,3344.46
2024-10-18,68418.79,65136.70,3282.09
2024-10-19,68362.73,66101.71,2261.02
2024-10-20,69001.70,66813.11,2188.59
2024-10-21,67367.85,67348.58,19.27
2024-10-22,67361.41,67400.46,-39.05
2024-10-23,66432.20,67147.28,-715.08
2024-10-24,68161.05,66580.25,1580.80
2024-10-25,66642.41,66185.20,457.21
2024-10-26,67014.70,65679.92,1334.78
2024-10-27,67929.30,65255.29,2674.01
2024-10-28,69907.76,65088.68,4819.08
2024-10-29,72720.49,65416.39,7304.10
2024-10-30,72339.54,66440.81,5898.73
2024-10-31,70215.19,67655.58,2559.60
2024-11-01,69482.47,68458.94,1023.52
2024-11-02,69289.27,68788.78,500.50
2024-11-03,68741.12,68750.06,-8.94
2024-11-04,67811.51,68396.47,-584.96
2024-11-05,69359.56,67754.86,1604.70
2024-11-06,75639.08,67293.07,8346.01
2024-11-07,75904.86,68020.99,7883.87
2024-11-08,76545.48,69347.25,7198.23
2024-11-09,76778.87,70946.19,5832.68
2024-11-10,80474.19,72499.22,7974.96
2024-11-11,88701.48,74402.24,14299.25
2024-11-12,87955.81,77604.51,10351.30
2024-11-13,90584.16,80859.02,9725.15
2024-11-14,87250.43,84066.39,3184.04
2024-11-15,91066.01,86016.80,5049.20
2024-11-16,90558.48,87554.19,3004.29
2024-11-17,89845.85,88358.91,1486.95
2024-11-18,90542.64,88381.65,2160.99
2024-11-19,92343.79,87999.02,4344.77
2024-11-20,94339.49,87700.77,6638.72
2024-11-21,98504.73,87799.25,10705.48
2024-11-22,98997.66,88829.84,10167.83
2024-11-23,97777.28,90255.75,7521.53
2024-11-24,98013.82,91416.89,6596.93
2024-11-25,93102.30,92257.48,844.82
2024-11-26,91985.32,91800.30,185.02
2024-11-27,95962.53,90491.20,5471.33
2024-11-28,95652.47,89658.82,5993.65
2024-11-29,97461.52,89124.68,8336.84
2024-11-30,96449.05,89204.86,7244.20
2024-12-01,97279.79,89434.62,7845.16
2024-12-02,95865.30,89899.78,5965.52
2024-12-03,96002.16,90162.56,5839.60
2024-12-04,98768.53,90319.24,8449.29
2024-12-05,96593.57,90915.73,5677.84
2024-12-06,99920.71,91225.02,8695.70
2024-12-07,99923.34,91973.73,7949.60
2024-12-08,101236.02,92809.77,8426.25
2024-12-09,97432.72,93796.67,3636.05
2024-12-10,96675.43,93935.98,2739.45
2024-12-11,101173.03,93443.33,7729.70
2024-12-12,100043.00,93515.95,6527.05
2024-12-13,101459.26,93610.40,7848.86
2024-12-14,101372.97,93975.86,7397.11
2024-12-15,104298.70,94389.72,9908.98
2024-12-16,106029.72,95315.27,10714.45
2024-12-17,106140.60,96668.52,9472.09
2024-12-18,100041.54,98017.15,2024.39
2024-12-19,97490.95,97898.57,-407.62
2024-12-20,97755.93,96502.21,1253.72
2024-12-21,97224.73,94679.38,2545.34
2024-12-22,95104.94,92810.12,2294.82
2024-12-23,94686.24,90844.77,3841.47
2024-12-24,98676.09,89133.23,9542.87
2024-12-25,99299.20,88646.74,10652.45
2024-12-26,95795.52,89069.09,6726.42
2024-12-27,94164.86,89339.16,4825.70
2024-12-28,95163.93,89259.61,5904.32
2024-12-29,93530.23,89233.71,4296.52
2024-12-30,92643.21,88953.60,3689.61
2024-12-31,93429.20,88448.77,4980.44
